idrealestate;type;typeOfOffer;city;municipality;squareFootage;constructionYear;landArea;floorInfo;registration;heatingType;roomNo;bathroomNo;price;country;con;pl;pumpaIliKalorimetri
2904;flat;rent;Beograd;"Zemun (Gornji grad)";65;2019;NULL;"2 / 2";NULL;NULL;2;1;650;Srbija;Novogradnja;NULL;NULL
3626;flat;rent;Beograd;"Zemun (Gornji grad)";65;2019;NULL;"2 / 2";NULL;NULL;2;1;650;Srbija;Novogradnja;NULL;NULL
6358;flat;rent;"Novi Sad";Grbavica;65;2019;NULL;"11 / -";NULL;"Centralno, Klima";3;1;600;Srbija;Novogradnja;NULL;NULL
8534;flat;rent;Beograd;"Vračar (Centar)";50;2019;NULL;"3 / 7";NULL;"Centralno, Klima";2;NULL;600;Srbija;Novogradnja;NULL;NULL
5749;flat;rent;Beograd;Čubura;57;2020;NULL;"- / 4";NULL;"Centralno, Klima";2;1;580;Srbija;Novogradnja;NULL;NULL
9526;flat;rent;Beograd;"Vračar (Hram)";61;2019;NULL;"2 / 4";Da;Centralno;3;NULL;550;Srbija;Standardna;NULL;NULL
2902;flat;rent;Beograd;"Zemun (Gornji grad)";35;2019;NULL;"2 / 2";NULL;NULL;2;1;500;Srbija;Novogradnja;NULL;NULL
3624;flat;rent;Beograd;"Zemun (Gornji grad)";35;2019;NULL;"2 / 2";NULL;NULL;2;1;500;Srbija;Novogradnja;NULL;NULL
3621;flat;rent;NULL;NULL;46;2019;NULL;"2 / 4";Da;"Centralno, Klima";2;1;450;Srbija;Standardna;NULL;NULL
6439;flat;rent;"Novi Sad";Centar;42;2019;NULL;"1 / 6";NULL;"Centralno, Klima";2;1;400;Srbija;Novogradnja;NULL;NULL
4717;flat;rent;Ub;"Vuka Karadžića";77;2019;NULL;"3 / 4";NULL;NULL;3;1;300;Srbija;Novogradnja;NULL;NULL
6054;flat;rent;Petrovaradin;NULL;70;2020;NULL;"- / -";NULL;Klima;3;1;300;Srbija;Novogradnja;NULL;NULL
293;home;sale;Buljarica;NULL;356;2019;NULL;NULL;NULL;"Samostalno, Klima";3;NULL;NULL;"Crna Gora";Novogradnja;yes;NULL
1124;flat;sale;Zlatibor;"Čolovića brdo";30;2019;NULL;"- / -";Da;NULL;NULL;NULL;NULL;Srbija;Novogradnja;NULL;NULL
3768;flat;sale;"Banja Koviljača";"Zdravka Masanovica";30;2019;NULL;"- / 5";Da;NULL;NULL;NULL;NULL;Srbija;Novogradnja;NULL;NULL
10386;flat;sale;Zlatibor;Centar;38;2019;NULL;"- / -";Da;Samostalno;NULL;NULL;NULL;Srbija;U;NULL;NULL
10498;flat;sale;Niš;Durlan;72;2020;NULL;"4 / 5";Da;Samostalno;NULL;2;NULL;Srbija;Novogradnja;NULL;NULL
